Time [sec], Encoder [-], Position [rad], Speed [rad/s], Voltage [V], Current [A]
      1.01,           4,         0.0053,      0.265033,      2.0379,        0.57
      1.02,          12,         0.0159,      1.060131,      2.0481,        0.24
      1.03,          21,         0.0278,      1.192648,      2.0547,        0.20
      1.04,          33,         0.0437,      1.590197,      2.0509,        0.14
      1.05,          45,         0.0596,      1.590197,      2.0519,        0.07
      1.06,          58,         0.0769,      1.722713,      2.0491,        0.07
      1.07,          72,         0.0954,      1.855230,      2.0491,        0.05
      1.08,          86,         0.1140,      1.855230,      2.0500,        0.06
      1.09,         101,         0.1338,      1.987745,      2.0500,        0.07
      1.10,         116,         0.1537,      1.987746,      2.0481,        0.07
      1.11,         132,         0.1749,      2.120262,      2.0509,        0.05
      1.12,         147,         0.1948,      1.987746,      2.0500,        0.06
      1.13,         163,         0.2160,      2.120262,      2.0491,        0.18
      1.14,         179,         0.2372,      2.120262,      2.0612,        0.05
      1.15,         195,         0.2584,      2.120261,      2.0528,        0.01
      1.16,         211,         0.2796,      2.120262,      2.0491,        0.05
      1.17,         228,         0.3021,      2.252781,      2.0509,        0.03
      1.18,         244,         0.3233,      2.120262,      2.0500,        0.04
      1.19,         260,         0.3445,      2.120260,      2.0547,        0.04
      1.20,         277,         0.3671,      2.252781,      2.0528,        0.05
      1.21,         293,         0.3883,      2.120262,      2.0528,        0.05
      1.22,         310,         0.4108,      2.252779,      2.0538,        0.01
      1.23,         327,         0.4333,      2.252775,      2.0444,        0.05
      1.24,         343,         0.4545,      2.120262,      2.0509,        0.06
      1.25,         358,         0.4744,      1.987749,      2.0500,        0.13
      1.26,         369,         0.4890,      1.457679,      2.0519,        0.26
      1.27,         376,         0.4983,      0.927615,      2.0491,        0.29
      1.28,         384,         0.5089,      1.060131,      2.0519,        0.22
      1.29,         395,         0.5234,      1.457679,      2.0500,        0.13
      1.30,         406,         0.5380,      1.457679,      2.0453,        0.15
      1.31,         419,         0.5552,      1.722717,      2.0509,        0.12
      1.32,         433,         0.5738,      1.855224,      2.0519,        0.10
      1.33,         447,         0.5923,      1.855236,      2.0509,        0.05
      1.34,         462,         0.6122,      1.987743,      2.0528,        0.03
      1.35,         477,         0.6321,      1.987743,      2.0491,        0.05
      1.36,         492,         0.6520,      1.987743,      2.0491,        0.05
      1.37,         508,         0.6732,      2.120268,      2.0500,        0.07
      1.38,         524,         0.6944,      2.120262,      2.0547,        0.04
      1.39,         540,         0.7156,      2.120262,      2.0500,        0.05
      1.40,         556,         0.7368,      2.120262,      2.0491,        0.03
      1.41,         572,         0.7580,      2.120262,      2.0491,        0.05
      1.42,         588,         0.7792,      2.120262,      2.0500,        0.05
      1.43,         605,         0.8017,      2.252781,      2.0500,        0.05
      1.44,         621,         0.8229,      2.120262,      2.0481,        0.05
      1.45,         638,         0.8455,      2.252769,      2.0491,        0.04
      1.46,         655,         0.8680,      2.252787,      2.0435,        0.00
      1.47,         671,         0.8892,      2.120256,      2.0500,        0.05
      1.48,         688,         0.9117,      2.252787,      2.0509,        0.04
      1.49,         705,         0.9342,      2.252769,      2.0491,        0.03
