Time [sec], Encoder [-], Position [rad], Speed [rad/s], Voltage [V], Current [A]
      4.32,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.33,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.34,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.35,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.36,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.37,        3888,         5.1522,      0.000000,      0.0000,        0.01
      4.38,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.39,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.40,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.41,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.42,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.43,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.44,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.45,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.46,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.47,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.48,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.49,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.50,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.51,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.52,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.53,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.54,        3888,         5.1522,      0.000000,      0.0000,        0.09
      4.55,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.56,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.57,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.58,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.59,        3888,         5.1522,      0.000000,      0.0000,        0.02
      4.60,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.61,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.62,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.63,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.64,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.65,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.66,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.67,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.68,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.69,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.70,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.71,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.72,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.73,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.74,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.75,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.76,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.77,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.78,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.79,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.80,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.81,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.82,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.83,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.84,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.85,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.86,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.87,        3888,         5.1522,      0.000000,      0.0000,        0.03
      4.88,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.89,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.90,        3888,         5.1522,      0.000000,      0.0000,        0.08
      4.91,        3888,         5.1522,      0.000000,      0.0000,        0.09
      4.92,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.93,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.94,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.95,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.96,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.97,        3888,         5.1522,      0.000000,      0.0000,        0.04
      4.98,        3888,         5.1522,      0.000000,      0.0000,        0.05
      4.99,        3888,         5.1522,      0.000000,      0.0000,        0.05
